horizon_minutes,model,bin_low,bin_high,n,prediction,observed
15,unconditional,0,0.05,5181,0.02482438791516061,0.08801389693109438
15,volatility,0,0.05,1399,0.024807521004300725,0.05075053609721229
15,volatility,0.05,0.15,1561,0.09595576344438447,0.07046764894298527
15,volatility,0.15,0.3,1165,0.21886269460459146,0.07467811158798283
15,volatility,0.3,0.6,935,0.40781551732123605,0.1657754010695187
15,volatility,0.6,1.000001,121,0.6919350047880113,0.2727272727272727
15,volatility_velocity,0,0.05,1388,0.024403249049965228,0.05043227665706052
15,volatility_velocity,0.05,0.15,1592,0.09584319620474259,0.06909547738693467
15,volatility_velocity,0.15,0.3,1158,0.2183859256072899,0.07512953367875648
15,volatility_velocity,0.3,0.6,914,0.40110815909249314,0.16958424507658643
15,volatility_velocity,0.6,1.000001,129,0.6824086241494887,0.26356589147286824
30,unconditional,0.05,0.15,5178,0.06437973129646048,0.21031286210892236
30,volatility,0,0.05,490,0.02802472417733376,0.12857142857142856
30,volatility,0.05,0.15,1094,0.09759856450733924,0.1416819012797075
30,volatility,0.15,0.3,1248,0.21973341893165602,0.1794871794871795
30,volatility,0.3,0.6,1729,0.43801308653047905,0.22903412377096588
30,volatility,0.6,1.000001,617,0.7112136071442349,0.406807131280389
30,volatility_velocity,0,0.05,485,0.028619850447781117,0.12989690721649486
30,volatility_velocity,0.05,0.15,1134,0.09776572982191957,0.14814814814814814
30,volatility_velocity,0.15,0.3,1220,0.22117897529290895,0.17704918032786884
30,volatility_velocity,0.3,0.6,1752,0.435058025715597,0.22945205479452055
30,volatility_velocity,0.6,1.000001,587,0.7087711452950101,0.4088586030664395
60,unconditional,0.15,0.3,5172,0.15610720862033692,0.4048723897911833
60,volatility,0,0.05,93,0.033566309465929534,0.17204301075268819
60,volatility,0.05,0.15,502,0.1016152263346532,0.33067729083665337
60,volatility,0.15,0.3,887,0.222899042378715,0.2919954904171364
60,volatility,0.3,0.6,1777,0.4400880621239876,0.36522228474957796
60,volatility,0.6,1.000001,1913,0.7503896479751264,0.5248301097752222
60,volatility_velocity,0,0.05,78,0.03414386160420346,0.16666666666666666
60,volatility_velocity,0.05,0.15,528,0.10366699492229692,0.3143939393939394
60,volatility_velocity,0.15,0.3,954,0.2272427205982511,0.31341719077568136
60,volatility_velocity,0.3,0.6,1834,0.45380194161333764,0.3647764449291167
60,volatility_velocity,0.6,1.000001,1778,0.7545690378112889,0.5326209223847019
120,unconditional,0.3,0.6,5160,0.3415399304371548,0.6457364341085271
120,volatility,0,0.05,1,0.04896678715133329,0.0
120,volatility,0.05,0.15,122,0.10727514218345943,0.4344262295081967
120,volatility,0.15,0.3,434,0.23384150394532024,0.5552995391705069
120,volatility,0.3,0.6,1519,0.46550441548384586,0.5799868334430547
120,volatility,0.6,1.000001,3084,0.8252108127845544,0.6994163424124513
120,volatility_velocity,0,0.05,3,0.04835959347929878,0.6666666666666666
120,volatility_velocity,0.05,0.15,102,0.11018775743832042,0.39215686274509803
120,volatility_velocity,0.15,0.3,422,0.22938350494890913,0.5781990521327014
120,volatility_velocity,0.3,0.6,1486,0.4520077250677267,0.5895020188425303
120,volatility_velocity,0.6,1.000001,3147,0.8167614505576655,0.6895455989831586
