horizon_minutes,group,n,exit_rate,mean_hourly_volume_usd
15,all,5181,0.08801389693109438,5439803.978035512
15,low_volatility,555,0.04864864864864865,3370508.4560525194
15,calm_profile,148,0.033783783783783786,2902293.4742998397
15,training_quiet_hours,1296,0.07330246913580248,3713042.9007648625
15,outside_calm_profile,5033,0.08960858334989072,5514421.811246892
30,all,5178,0.21031286210892236,5439864.6163831055
30,low_volatility,555,0.13513513513513514,3370508.4560525194
30,calm_profile,148,0.0945945945945946,2902293.4742998397
30,training_quiet_hours,1296,0.17515432098765432,3713042.9007648625
30,outside_calm_profile,5030,0.21371769383697814,5514528.737462295
60,all,5172,0.4048723897911833,5439872.542843835
60,low_volatility,555,0.3009009009009009,3370508.4560525194
60,calm_profile,148,0.23648648648648649,2902293.4742998397
60,training_quiet_hours,1296,0.3533950617283951,3713042.9007648625
60,outside_calm_profile,5024,0.4098328025477707,5514626.06635986
120,all,5160,0.6457364341085271,5430727.800997811
120,low_volatility,555,0.5297297297297298,3370508.4560525194
120,calm_profile,148,0.4594594594594595,2902293.4742998397
120,training_quiet_hours,1296,0.5709876543209876,3713042.9007648625
120,outside_calm_profile,5012,0.6512370311252993,5505390.267149308
